가수,제목,장르,가사
EXID,아예 (Ah Yeah),가요 / 댄스,아예 아예 아예 아예 아예  아예 아예 아예 아예 아예  왜 이렇게 감을 못 잡는거야  왜 이 말을 하는지 모르겠어 뭐야 싱긋싱긋 웃으며 치근 치근대 날 그저 그렇고 그런 애 취급해 MAN. DON'T DO THAT. 답할 맘 없어 그런 질문에 no way 오늘만 몇 번을 물어 본거야 Baby Stop. 대체 뭐라 뭐라 하는데 당췌 못 알아듣겠어 1도 번번히 좌절되는 시도 정신 좀 차리고 보는게 어때 딱 너만 빼고 모두가 보이는 신호 오늘내일 하지 말고 서둘러서  다가와 어서 다가와 어서 너 아예 아예 아예 아예 아예  이런 시간 뻔해 이대론 불편해 자꾸 그런거만 물어보지마 원하는대로해 나는 그게 편해 이 시간이 가버리기전에 너~ 아예 아예 아예 아예 아예  아예 아예 아예 아예 아예  왜 말 더듬는거야 무슨 말을 하는지 모르겠어 뭐야 순진한 척 말을 더듬더듬 새어 나오는 나쁜 버릇버릇 내 머리 어깨 무릎 발 무릎 발 예상이 가능하지 백프로 다 . 뭐 이렇게 질문이 많은 거야 네가 어린애야 뭐야  대체 네가 아는게 뭐야 당췌 아는게 없어 1도 필요함이 절실한 개인지도 이정도 해도 못알아듣어 너 혼좀 나야돼 나와 뒤로 오늘 내일 하지말고 서둘러서  다가와서 다가와서 너 아예 아예 아예 아예 아예 이런식은 뻔해 이대론 불편해 자꾸 그런것만 물어보지마 원하는대로 해 나는 그게 편해 이 시간이 가버리기전에 아 직까지도 나에겐  얘기하지 못한 말들  아~ 아쉬워지기 전에 예~ 얘기해 나 지치기 전에  이젠 넌 내 옆으로 와~  이런 시간 뻔해 이대론 불편해 자꾸 그런거만 물어보지마 원하는 대로해 나는 그게 편해 이 시간이 가버리기 전에 너~ 아예 아예 아예 아예 아예  아예 아예 아예 아예 아예
BIGBANG (빅뱅),BAE BAE,가요 / 랩/힙합,I'M IN LOVE 눈에  콩깍지 씌었어 BABE 하의 실종에 흰 와이셔츠 BABE 사람이야 천사야  OH JESUS BABE 눈부셔 BABE SUNGLASS BABE 정신이 망신이야 홀렸어 네게 피가 한쪽으로 또 쏠렸어 네게 위험해 YOU'RE SO  DANGEROUS BABE 살려줘 BABE 경찰 불러 BABE BABY BABY 지금처럼만  아름다워 줄래 넌 시간이 지나도  내가 설렐 수 있게 BABY BABY 넌 시들지 마  이기적인 날 위해 그 모습 그대로  넌 그대로 여야만 해 사슴같이 예쁜 눈  나의 PRINCESS 나를 보고 비웃는 게  너무 CHIC 해 미친 거 아닐까 자연 미인  특이해 특이해 내게 완벽한 그대여 나의 MUSE 해 우리 둘이 편해 완전 살찌네 너와 몸이 완전 착착 감기네 영원히 넌 스물다섯이야 내게 변치 않아 BABE 5 X 5 BABE BABY BABY 지금처럼만  아름다워 줄래 넌 시간이 지나도 내가 설렐 수 있게 BABY BABY 넌 시들지 마  이기적인 날 위해 그 모습 그대로  넌 그대로 여야만 해 난 예쁜 꽃을 든 남자 모든 이가 사랑할  너란 꽃을 든 남자 그대 향기에 취해  난 또 몽롱해지고 꺾이지 말아주오 제발 너만은 찹쌀떡 찹쌀떡 궁합이 우리 우리 궁합이 찹쌀떡 찹쌀떡 궁합이 우리 우리 궁합이
MINO (송민호),겁 (Feat. 태양),가요 / 랩/힙합,"뒤돌아 봤을 때 생각보다 멀리 와있었어 난 혼자였고 문득 겁이 났지 내가 날 봤을 때 지쳐있단 사실을 몰랐었어 난 외로웠고 문득 겁이 났지 넌 잘하고 있어 헷갈릴 때면 여태 그랬던 것처럼 그냥 Go 너답게 해 너는 너를 알아 연습했잖아 한 수 천 번은 말야 좌절 한 두 번 이젠 시시해 원래 기회라는 건 인생의 위기에 넌 알잖아 다시 일어나는 법 천국여행 간다며 어서 싸 캐리어 멈추지 마라 아직 할 일 많아 뒷바라지하는 부모님의 사진봐 넌 동생들의 거울이자 가족들의 별  네가 잠을 줄여야만 그들이 편하게 숙면 야 이 병신아 티 좀내지마 마음 단단히 먹어 알아 외롭지만 견뎌내야 돼 눈물 흘리냐 사내새끼가 뚝 그치고 다시 들어 책임감 eh- 아무것도 보기 싫었을 때 억지로 눈을 부릅뜬 건 그냥 겁나서 덜컥 겁이 나서 그래 u-eh-o  아무 말도하기 싫었을 때 일부러 목소릴 높인 건 There is no other reason 겁이나 난 겁이나 (겁이 나) 입버릇처럼 말했어 언제나 나는 나를 믿어 상대는 없다며 But enemy was in my mirror 계속된 싸움에 이성을 잃었었나봐 내가 나를 죽였어 엄마도 내 눈치를 봐 대중의 관심을 받는 게 eh- CCTV 속에 사는 게 eh- 한곳만 죽어라 팠는데 그게 내 무덤이 될 수도 있다는 게  무서웠어 아버지 날 보고 있다면 정답을 알려줘 어른이 되기엔 난 어리고 여려 아직도 방법을 모르고 부딪히는 짓만 하기엔 너무 아프다는 걸 이제 알았어 너무 늦었나봐 무식하게 채찍질만 하기엔 아물지 않은 상처가 너무 많아 eh- 아무것도 보기 싫었을 때 억지로 눈을 부릅뜬 건 그냥 겁나서 덜컥 겁이 나서 그래 u-eh-o  아무 말도하기 싫었을 때 일부러 목소릴 높인 건 There is no other reason 겁이나 난 겁이나 난 모든 게 감사해 내 종교를 떠나서 6년 전부터 이 꼬맹이를 이용하려 했던 악덕 대표님들 조차 날 구원해준 지금의 회사도 이 무대를 내어준 수많은 참가자도 남자의 삶을 알려준 하늘에 계신 큰아빠도 가족, 내 어깨들과 형제 같은 멤버들도 딱 오늘까지만 위로를 받고 내일부턴 겁쟁이가 아닌 성숙해진 나로 eh- 아무것도 보기 싫었을 때 억지로 눈을 부릅뜬 건 그냥 겁나서 덜컥 겁이 나서 그래 u-eh-o  아무 말도하기 싫었을 때 일부러 목소릴 높인 건 There is no other reason 겁이나 난 겁이나"
혁오 (HYUKOH),와리가리,가요 / 락,그런 슬픈 말을 하지 마요 아마 그럴 줄은 알았는데 이젠 좀 잔잔하다 했었는데 뒤도 돌아보지 않아 그런 마음을 낮추지 마요 저기 다가온다 기대했는데 또 한 편 언젠가는 떠나갈걸 이젠 슬쩍 봐도 알아 And we play comes and goes 'cause we did this when we  were child before and we play comes and goes 'cause big boys still play  the game all the time 다 쓴 야광별을 떼어냈죠 옅은 빛을 살피고 있으면 내일이 그리 기다려졌는데 이젠 그렇지도 않아 어렸을 때 몰래 훔쳐봤던 아빠의 수첩 같은 일기장엔 오늘의 걱정이 적혀있던 게 이제야 생각나네 And we play comes and goes 'cause we did this when we  were child before and we play comes and goes 'cause big boys still play  the game all the time 익숙하니 또 무뎌지네요 흘러간 장면이 펼쳐지네요 다시 그 순간을 마주한대도 그땐 또 지금 같진 않겠지 And we play comes and goes 'cause we did this when we  were child before and we play comes and goes 'cause big boys still play  the game all the time Familiarity is  a common sense I feel like  I'm not here anymore 그냥 다들 안고선  살고 있더라고   woo woo 다들 그렇게들 떠나나요 이미 저 너머 멀리에 가있네 여기에는 아무도 안 올 테니 그냥 집으로 돌아갈래
원더걸스,I Feel You,가요 / 댄스,내게 걸어놓은 마법이 뭔지  헤어 나오질 못하고 있어 한번도 이런 적이 없이  흔들린 적이 없었던 난데 (No) (Woo) 하루 종일 이래  네 생각에 취해 (Woo) 기다리기만 해  널 만나러 가게 (Woo woo baby) 어쩌면 좋아  너 없인 못 살 것만 같아 (Woo baby) I Feel You 혼자 있어도  너의 손길이 느껴져 하루 종일 나를 만져 I Feel You 빠져있는데  헤어나올 수가 없어 너에게 달려갈 생각뿐이 없어 점점 더 빠져만 가 점점 더 미쳐만 가 점점 더 어떡해 나  Baby 네 손길이 아직도 나를  스치고 있는 것만 같아 네 목소리가 내 귓가에  계속 속삭이는 것만 같아 (No) (Woo) 하루 종일  이래 네 생각에 취해 (Woo) 기다리기만 해  널 만나러 가게 (Woo woo baby) 어쩌면 좋아  너 없인 못 살 것만 같아  (Woo baby) I Feel You 혼자 있어도  너의 손길이 느껴져 하루 종일 나를 만져 I Feel You 빠져있는데  헤어나올 수가 없어 너에게 달려갈 생각뿐이 없어 눈 감아도 들려 달콤한 숨결 느껴 그만 날 보고 불 꺼 니 시선이 더 날 붉혀 손발 끝 간질거려와 달아오르는 체온 숨 가빠와 더 이상은 참을 수가 없어 나 이제 Please baby be mine I Feel You 혼자 있어도  너의 손길이 느껴져 하루 종일 나를 만져 I Feel You 빠져있는데  헤어나올 수가 없어 너에게 달려갈 생각뿐이 없어 점점 더 빠져만 가 점점 더 미쳐만 가 점점 더 어떡해 나  Baby
AOA,심쿵해 (Heart Attack),가요 / 댄스,A-ye (Brave sound) And it goes a little something like this 완전 반해 반해 버렸어요 부드러운 목소리에 반해 반해 버렸어요 난 떨려 (AOA Let's Go!) 내가 미쳤나 봐  왜 또 이러지 내 마음 열여덟  소녀 마냥 막 쿵쿵대 숨길 수 없나 봐 난 매일 이러지 눈이라도 마주치면 귀까지 확 빨개져 이해 못해? 네가 걔를 못 봐서 그래 딱 첫눈에 확 반해 버린다는 말에 그 마음 이해 가더라 나도 좀 알겠더라 널 처음 본 그 순간 완전 반해 반해 버렸어요  넓은 어깨 날렵한 눈매에 부드러운 목소리에 반해 반해 버렸어요 너의 얇고 긴 손가락만 봐도 난 떨려 어머나 자꾸만 심쿵해 널 보면 볼수록 가슴이 쿵쿵대  나도 모르겠어 심쿵해 나 어쩌면 좋아 자꾸만 네 품에 꼭 안기고 싶어 baby 어쩌다 눈이라도 마주치면 난 심쿵 거려 너의 작은 관심이라도 받을까 아등바등 거려 너는 대체 걔가 뭐가 그리 좋아? 라고 묻는 친구들에게 말해 야 모르면 말을 말어 이해 못해? 네가 걔를 못 봐서 그래 딱 첫눈에 확 반해 버린다는 말에 그 마음 이해 가더라 나도 좀 알겠더라 널 처음 본 그 순간 완전 반해 반해 버렸어요 넓은 어깨 날렵한 눈매에 부드러운 목소리에 반해 반해 버렸어요 너의 얇고 긴 손가락만 봐도 난 떨려 어머나 자꾸만 심쿵해 널 보면 볼수록 가슴이 쿵쿵대 나도 모르겠어 심쿵해 나 어쩌면 좋아 자꾸만 네 품에 꼭 안기고 싶어 baby 오 나의 왕자님 어디를 보나요 바로 여기 내가 있는데요 너무나 멋진 그대 난 그대 하나면 돼 난 그대 없이 못 살아요 완전 반해 반해 버렸어요 부드러운 목소리에 반해 반해 버렸어요 난 떨려 어머나 자꾸만 심쿵해 Everybody say What! AOA 쿵쿵대 And it goes a little  something like this 심쿵해 한번 더 say What! AOA 네 품에 꼭 안기고 싶어 baby
SHINee (샤이니),View,가요 / 댄스,모두 할 말을 잃지 Like you 4차원 이상의 기적의 View 달콤히 찍어 문 빛의 퐁듀 보이기 시작한 음의 색도 예민해진 걸 느껴 뚜렷한 색감과 여섯 번째 감각 Tonight is the night 좀 거칠어도 좋아 더 민감히 굴어봐 더는 숨기지 말아줘 너무 아름다운- 다운-다운-다운 View 너무 아름다운- 다운-다운-다운 View 더 보여줘 다음- 다음-다음-다음 View 너무 아름다운- 다운-다운-다운 View 너무 아름다운- 다운-다운 (그곳으로) 너무 아름다운- 다운-다운 (데려가 줘) 더 보여줘 다음- 다음-다음 (더 보여줘) 너무 아름다운- 다운-다운-다운 View 저 하늘을 곱게 접는 이 바다를 병에 담는 시간도 편히 걷는 꿈들을 이뤄 난 (By my side) 상상한 게 뭐든 전부 보여 줄게 이제 말해봐 Yeah-yeah 예민해진 걸 느껴 은근한 촉감과 끝없어진 감각 Tonight is the night 이상하대도 좋아 잠들었던 감각의 한계를 넘어선 그 순간 (Yeah-yeah-yeah) 너무 아름다운- 다운-다운-다운 View 너무 아름다운- 다운-다운-다운 View 더 보여줘 다음- 다음-다음-다음 View 너무 아름다운- 다운-다운-다운 View 너무 아름다운- 다운-다운 (그곳으로) 너무 아름다운- 다운-다운 (데려가 줘) 더 보여줘 다음- 다음-다음 (더 보여줘) 너무 아름다운- 다운-다운-다운 View 지루함에 익숙해져 특별함을 잊었잖아 이제 천천히 고개를 들어 줘 내 두 눈에 입 맞춰 너무 아름다운-다운-다운 그곳으로 너무 아름다운-다운-다운 (그곳으로) 데려가 줘   누구든 처음이겠지 Like you (I feel a thousand senses) 별빛의 향과 맛을 본 것도 (I'll never leave you lonely) 향기의 무게를 느낀 것도 (I won't let you down) 소리의 색과 모양 본 것도
아이유 (IU),마음,가요 / 전체,툭 웃음이 터지면 그건 너 쿵 내려앉으면은 그건 너 축 머금고 있다면 그건 너 둥 울림이 생긴다면 그건 너 그대를 보며 나는 더운 숨을 쉬어요 아픈 기분이 드는 건 그 때문이겠죠 나를 알아주지 않으셔도 돼요 찾아오지 않으셔도 다만 꺼지지 않는 작은 불빛이 여기 반짝 살아있어요 영영 살아있어요 눈을 떼지 못 해 하루종일 눈이 시려요 슬픈 기분이 드는 건 그 때문이겠죠 제게 대답하지 않으셔도 돼요 달래주지 않으셔도 다만 꺼지지 않는 작은 불빛이 여기 반짝 살아있어요 세상 모든 게 죽고 새로 태어나 다시 늙어갈 때에도 감히 이 마음만은 주름도 없이 여기 반짝 살아있어요 영영 살아있어요 영영 살아있어요
Zion.T & Crush,그냥 (Just),가요 / R&B/소울,"내가 안쓰러워 보여 인사하는 거라면 내 마음 다칠까 걱정 말고 그냥 지나가면 돼요 Nana (나나) Nana (나나) 내 마음 아플까 걱정 말고 사실 난 아무렇지도 않아 꼭 아픈 사람처럼 보여도 하고픈 이야기 너무 많았는데 결국 나 혼자 나 혼자  나 혼자서 어쩌구 사실 나는 널 좋아하지 않아 오히려 미워해, 싫어해 매일 밤 홀로 누운  침대 위에서 꼭 끌어안은 이불은 추워 내가 안쓰러워 보여 다가오는 거라면 내 마음 아플까 걱정 말고 그냥 지나가면 돼요 니가 내게 무심코 뱉어댄  차가운 말들  몰래 속앓이 해  원래 당연 하단 듯  어차피 안 이뤄져  뻔해 잘 알아  동정 따윈 더 이상 나 바라지도 않아 초라해지기 싫어서 나 먼저 그 자리에 일어섰네 머뭇거리지 마  나 진짜 괜찮아 아무 말 말고  뒤돌아 서서 걸어가 Nana (나나) Nana (나나) 내 마음 아플까 걱정 말고 그냥 지나가면 돼요 지나가면"
씨스타 (Sistar),SHAKE IT,가요 / 댄스,너만을 유혹하는 춤  (우우우 우우우우!) 심장에 매력 발산 중  (우우우 우우우우!) 손끝만 스쳐도  막 쿵쿵쿵쿵 Oh! 내 맘이 흔들려 Shake it shake it for me Shake it shake it for me 나나나 나나나 나나나! (Hey!) 나나나 나나나 나나나! (Hey!) 짜릿한 이 느낌  날 춤을 추게 해  지금 이 순간 (Shake it) Bae bae baby Love me love me  love me now 흔들리는 내 맘 모르겠니 So let's dance Just shake it let's dance 좀 더 핫하게  완전 와일드하게 Make it louder 우우우 더 크게 make it louder 우우우 날 자꾸 흔들어 흔들어 놀라게 흔들어 (Shake it oh shake it) 밤새 나와 Shake it baby [Rap] 아주 fun하고 smart하게  (흔들흔들어) 온몸이 찌릿찌릿 우리 둘이  (흔들흔들어) 심하게 통하니 여기 불났으니 When I Move  움직여 자리 잡았으니 Shake it shake it for me Shake it shake it for me 나나나 나나나 나나나! (Hey!) 나나나 나나나 나나나! (Hey!) 짜릿한 이 느낌  날 춤을 추게 해  지금 이 순간 (Shake it) Bae bae baby Love me love me  love me now 흔들리는 내 맘 모르겠니 So let's dance Just shake it let's dance 좀 더 핫하게  완전 와일드하게 Make it louder 우우우 더 크게 make it louder 우우우 날 자꾸 흔들어 흔들어 놀라게 흔들어 (Shake it oh shake it) 밤새 나와 Shake it baby Shake it oh shake it Shake it up shake it for me Shake it oh shake it Shake it up shake it for me Shake it oh shake it Shake it up shake it for me Shake it oh shake it Shake it up shake it for me Shake it for me my baby Shake it for me my baby 그렇게 모두 모여 dance Just shake it let's dance 좀 더 핫하게  완전 와일드하게 Make it louder 우우우 더 크게 make it louder 우우우 날 자꾸 흔들어 흔들어 놀라게 흔들어 (Shake it oh shake it) 밤새 나와 Shake it baby
EXO,CALL ME BABY,가요 / 댄스,"이 거리는 완전 난리야 사람들 사이는 남이야 함께하는 매 순간이 Like BOOM, BOOM BOOM, BOOM, BOOM What up Hey Girl 영원 같던 찰나 (운명 같은 순간) 나를 한 순간 뚫고가 (번개처럼 이 세계를) 넌 내 이름 불러주며 나에게로 다가와 놀라워 섬광처럼 가득 차 너를 마주한 순간 oh my 편하게 여기 앉아 이제 내 얘기를 들어봐 Oh I don't care 나 멀리멀리 돌아간대도 이렇게 너의 곁에 단 한 남자가 되어줄 테니 메마른 내 입술에 너 스며들어와 나를 깨워 The time's wasting girl So don't wait, don't wait too long *  빛나는 것들은 많아,  그 안에 진짜를 봐봐 Call me baby, Call me baby, Call me baby, Call me baby (몇번이라도 Call me, girl) **  널 향해 커져간 마음아, 너 말곤 그 문을 닫아 (You know I'm here girl) Call me baby, Call me baby, Call me baby, Call me baby 몇 번이라도 Call me girl 나를 나로 존재하게 해 내 세상은 오직 you're the one, You're the one Girl you're the one I want * REPEAT 몇 번이라도 Call me girl Baby girl 욕심들 속에 날 선 그 어떤 말도 넘어설 그런 믿음을 보여준 너 모두 변해 날 떠나간대도 너는 나만의 lady 내 손을 잡아주는 그거면 돼 * REPEAT ** REPEAT 어둔 미로 속에 갇혔던 Oh 나 (그 어둠 속에서) 날 깨워준 네 목소리 들려와 날 다시 태어나게 해 Yeah! E-X-O Listen! Say my name (Louder) 혼란스러운 공간 속 날 이끌어줄 빛이 되고 놓치지 않아준 너라면 (What up) 널 안고 변치 않을게 널 안고 나를 떠나버린 사람들과 마주해 Never don't mind about a thing 내 가슴속 그 거대한 공백에 널 더해 흔들리는 세상 속에서 (Whoo- Babe) 빛이 돼준 오직 한 사람 바로 너 Girl you're the one I want (You're the one I want) * REPEAT (I'll be your baby yeah- Ho!) 나를 나로 존재하게 해 (You know I'm here girl) 내 세상은 오직 you're the one, You're the one Girl you're the one I want (You're the one that I want) * REPEAT 몇 번이라도 Call me girl"
Red Velvet (레드벨벳),Ice Cream Cake,가요 / 댄스,La La La La La - Oh 햇살 눈부신 한가론 휴일  예쁜 새하얀  원피스를 입고 Oh Oh 난 집을 나섰지 콧노래 나오지  La La La La La - 넌 나를 바라봐  넋을 놓고 또 봐  네 맘을 사로잡아  버린 그 순간 Oh 떨리는 목소리 네 맘엔 북소리  또 반짝이는 종소리가 울리지 La La La La La - 주세요 달콤한 그 맛  Ice Cream Cake  특별해질 오늘에  어울리는 맛으로 입가에 묻은 Ice Cream에  네 가슴 두근거려  내게 다가 오겠죠 It's so tasty  Come and chase me  못 참겠어  I scream You scream  Gimme that Gimme that  Ice Cream Oh Vanilla chocolate honey  with a cherry on top  매일 다양하게  보여줄게 너에게만  무지갤 그려대는  저 분수대 보다  난 사랑을 그려내는  네게 좀 더 끌릴 거야   넌 나를 데리고 떠나 어서 떠나  조그만 스쿠터에 태워봐 Oh 날 Uh 네 허릴 감싸는  내 손에 오늘이  다 가도 맘이 두근두근 거리지  La La La La La - 주세요 달콤한 그 맛  Ice Cream Cake  특별해질 오늘에  어울리는 맛으로 입가에 묻은 Ice Cream에  네 가슴 두근거려  내게 다가 오겠죠  It's so tasty  Come and chase me  못 참겠어 I scream You scream  Gimme that Gimme that  Ice Cream X2 I scream You scream  Gimme that Gimme that [Rap] Pops 내 입안에 녹아 내리는 중  잔뜩 넣어 내 입안이  녹아 내리는 줄 Baby Boy 다른 남자들은  아무것도 몰라  You're so fine해서  안 튀는 옷만 골라 Never get me wrong my boo  I have no 관심 In that bag  지루한 월화부터 수목까지  Man I wanna pass  날 보는 네 시선에  See some good vibe  기분 좋은 느낌이야  너와 눈이 마주치는 순간 Gimme that X6 Ice Cream  어서요 부드런 그 맛  Ice Cream Cake  오직 널 기다리며  촛불을 켜둘게요 따스한 맘에 Ice Cream Cake  녹아버리기 전에  내게 입맞춰줘요  It's so tasty  Come and chase me  네 입술이 달콤하게 녹아요  나는 눈을 감아요  달콤한 그 맛  Ice Cream Cake  특별해질 오늘에  어울리는 맛으로 입가에 묻은 Ice Cream에  네 가슴 두근거려  내게 다가 오겠죠  It's so tasty  Come and chase me  못 참겠어 I scream You scream  Gimme that Gimme that  Ice Cream X2 I scream You scream  Gimme that Gimme that  your lips
소녀시대 (GIRLS' GENERATION),Lion Heart,가요 / 댄스,Oooh 너와 나 첨 만났을 때 Oooh 마치 사자처럼 맴돌다 기회를 노려 내 맘 뺏은 너 Ah 넌 달라진 게 없어 여전해 난 애가 타고 또 타 사냥감 찾아 한 눈 파는 너 수백 번 밀어내야 했는데  수천 번 널 떠나야 했는데 Tell me why 왜 맘이 맘이 자꾸 흔들리니 난 여기 여기 네 옆에 있잖니 정신 차려 Lion heart 난 애(愛)가 타 내 맘이 맘이 더는 식지 않게 난 여기저기 뛰노는 너의 맘 길들일래 Lion heart OhOhOh OhOhOhOhOh OhOhOh OhOhOhOhOh Oooh 넌 자유로운 영혼 여전해 충실해 본능 앞에 지금 네 옆에 난 안 보이니 수백 번 고민 고민해봐도 수천 번 결국 답은 너인데 Tell me why 왜 맘이 맘이 자꾸 흔들리니 난 여기 여기 네 옆에 있잖니 정신 차려 Lion heart 난 애(愛)가 타 내 맘이 맘이 더는 식지 않게 난 여기저기 뛰노는 너의 맘 길들일래 Lion heart OhOhOh OhOhOhOhOh OhOhOh OhOhOhOhOh OhOhOh OhOhOhOhOh OhOhOh OhOhOhOhOh 곤히 잠자는  나의 코끝을 Baby  네가 건드려  나도 화가 나 Baby  Tell me why 왜 맘이 맘이 자꾸 흔들리니 난 여기 여기 네 옆에 있잖니 정신 차려 Lion heart 난 애(愛)가 타 내 맘이 맘이 더는 식지 않게 난 여기저기 뛰노는 너의 맘 길들일래 Lion heart Ladies y'all know what  I'm talking about right?  (Yeah)  모두 다 아니라 해도  좋을 때 있지 않아?  (사실 나만 좋음 됐지 뭐)  바람보다 빠른 눈치로  (맘은 뜨겁게) 햇살처럼 따뜻한 말로  (머린 차갑게) 길들일래 너의 Lion heart  사자 같은 너의 Lion heart Lalala Lalalalala Lalala Lalalalala  Lalala Lalalalala 여기 와서 앉아  내 곁에만 있어 한 눈 팔지 말아  Lion heart
아이유 (IU),스물셋,가요 / 댄스,"I'm twenty three  난 수수께끼 (Question) 뭐게요 맞혀봐요 I'm twenty three 틀리지 말기 Because  난 몹시 예민해요 맞혀봐 한 떨기 스물셋 좀  아가씨 태가 나네 다 큰 척해도 적당히 믿어줘요 얄미운 스물셋 아직 한참 멀었다 얘  덜 자란 척해도 대충 속아줘요 난, 그래 확실히 지금이 좋아요  아냐, 아냐 사실은 때려 치고 싶어요 아 알겠어요 나는 사랑이 하고 싶어 아니 돈이나 많이 벌래 맞혀봐  어느 쪽이게? 얼굴만 보면 몰라 속마음과 다른 표정을 짓는 일 아주 간단하거든 어느 쪽이게? 사실은 나도 몰라 애초에 나는 단 한 줄의  거짓말도 쓴 적이 없거든 여우인 척, 하는 곰인 척, 하는 여우 아니면 아예 다른 거 어느 쪽이게? 뭐든 한 쪽을 골라 색안경 안에 비춰지는 거 뭐 이제 익숙하거든 Check it out 겁나는 게 없어요 엉망으로 굴어도  사람들은 내게 매일 친절해요 인사하는 저 여자 모퉁이를 돌고도 아직 웃고 있을까 늘 불안해요 난, 영원히 아이로 남고 싶어요 아니, 아니 물기 있는 여자가 될래요 아 정했어요 난 죽은 듯이 살래요 아냐, 다 뒤집어 볼래 맞혀봐 어느 쪽이게? 얼굴만 보면 몰라 속마음과 다른 표정을 짓는 일 아주 간단하거든 어느 쪽이게? 사실은 나도 몰라 애초에 나는 단 한 줄의  거짓말도 쓴 적이 없거든 여우인 척, 하는 곰인 척, 하는 여우 아니면 아예 다른 거 어느 쪽이게? 뭐든 한 쪽을 골라 색안경 안에 비춰지는 거 뭐 이제 익숙하거든 난 당신 맘에 들고 싶어요 아주 살짝만 얄밉게 해도 돼요? 난 당신 맘에 들고 싶어요 자기 머리 꼭대기 위에서 놀아도 돼요? 맞혀봐 어느 쪽이게? 얼굴만 보면 몰라 속마음과 다른 표정을 짓는 일 아주 간단하거든 어느 쪽이게? 사실은 나도 몰라 애초에 나는 단 한 줄의  거짓말도 쓴 적이 없거든 여우인 척, 하는 곰인 척, 하는 여우 아니면 아예 다른 거 어느 쪽이게? 뭐든 한 쪽을 골라 색안경 안에 비춰지는 거 뭐 이제 익숙하거든"
BIGBANG (빅뱅),우리 사랑하지 말아요,가요 / 댄스,우리 사랑하지 말아요  아직은 잘 모르잖아요 사실 조금은 두려운 거야  그대 미안해요 우리 약속하지 말아요  내일은 또 모르잖아요 하지만 이 말 만은 진심이야  그대 좋아해요 아무것도 묻지 말아요 대답할 수 없어요 지금 이렇게 둘이 행복한데 왜 날 가지려 하지 말아요 그저 이대로 조금만 있어요 갈수록 더 마음 아파지게 왜 잦은 만남 뒤엔 이별 계속 반복되는 실연 더는 의미를 찾을 수 없어  어리석은 미련 사랑의 탈을 쓴 mistake 느끼는 감정은 다 비슷해 하지만 이 순간만큼은  I want you to stay 우리 사랑하지 말아요  아직은 잘 모르잖아요 사실 조금은 두려운 거야  그대 미안해요 우리 약속하지 말아요  내일은 또 모르잖아요 하지만 이 말 만은 진심이야  그대 좋아해요 나를 보며 웃지 말아요 정들면 슬퍼져요 예쁜 그 미소가 눈물이 될까 봐 사랑이란 두 글자 속에 우릴 가두려고 하지 말아요 채우지 못할 욕심이니까 처음엔 설렘을 안고  반은 고민을 안고 끝엔 서로 의리로나마  지내 시행착오 난 하루하루가 불안해  네 그 순수함이 부담돼 하지만 오늘 밤만큼은  I want you to stay 내게 너무 많은 걸 바라지마 나도 그댈 잃고 싶진 않아 깊어지기 전에 상처 입기 전에 날 믿지 말아요 넌 항상 그래 이기적인 새끼 우리 사랑하지 말아요  아직은 잘 모르잖아요 사실 조금은 두려운 거야  그대 미안해요 우리 약속하지 말아요  내일은 또 모르잖아요 하지만 이 말 만은 진심이야  그대 좋아해요
